,address,name
3,"г. Алматы, 050000, пр. Фурманова, 110/60",Soluxe Hotel Almaty
9,"060011, Казахстан,  г. Атырау, ул. Сатпаева, 6",Atyrau Dastan Hotel
29,"Республика Казахстан, 050011, Алматы, Улица Шолохова 14/29А",Отель ROYAL PARK
35,"070019, Республика Казахстан, ВКО Усть-Каменогорск, ул. Крылова 86А",Гостиница GOLD STAR
38,"Республика Казахстан, 060000,  г. Актау, 2 микрорайон, здание 66",Гостиница «Актау»
60,"Республика Казахстан,  г. Петропавловск, ул. ул. Сатпаева, 27",Отель семейного типа «Хижина»
86,"Республика Казахстан,  г. Павлодар, ул. Торайгырова 1",Гостиница «Сары Арка»
94,"Республика Казахстан, 060000,  г. Актау, набережная зона, база отдыха «Достар»",Гостиница «Достар»
99,"г. Алматы, 050004, ул. Гоголя, 127/1",Отель «Казжол Алматы»
119,"Республика Казахстан, 130000,  г. Актау, 13 мкр, здание 25А",Grand Hotel Victory
135,"Республика Казахстан, 140000,  г. Павлодар, ул.Торайгырова,79/1.",Гостиница «Респект»
137,"Республика Казахстан г. Алматы, ул. Макатаева, 49",Гостиница Туркестан
146,"Республика Казахстан, 050021,  Алматы, Фурманова 164",Worldhotel Saltanat Almaty
156,"Казахстан, г. Алматы, 050043,  Район Казахфильм 18A","Гостиничный комплекс ""Hotel Kazakhfilm"""
